Year,Sex,Age,Value
23,1,4,616706.402238649
23,1,5,629635.8686706306
23,1,6,631639.4153888152
23,1,7,610113.2467116287
23,1,8,568809.2436924351
23,1,9,541318.9581045441
23,1,10,511662.25566453376
23,1,11,483633.7363404665
23,1,12,445895.12415143335
23,1,13,412706.3224747274
23,1,14,367211.77751673886
23,2,0,18.315667058249268
23,2,1,72.85801880191183
23,2,2,166.98638079118035
23,2,3,294.45693921551094
23,2,4,471.85363385447994
23,2,5,1511.1877514180808
23,2,6,4091.7751230728986
23,2,7,7720.7803779694295
23,2,8,11720.503678497991
23,2,9,16233.749925126665
23,2,10,23819.448974139705
23,2,11,35958.03950052305
23,2,12,49317.85391353215
23,2,13,63004.854912926596
23,2,14,72574.97505136252
24,0,0,544615.8655347746
24,0,1,547548.5634844694
24,0,2,555692.6269392621
24,0,3,571846.9270645565
24,0,4,576408.9237478864
24,0,5,601118.3917496946
24,0,6,612937.7754888766
24,0,7,615921.0755608499
24,0,8,598440.4975292746
24,0,9,568969.0155614913
24,0,10,546127.5805067719
24,0,11,525058.0913744604
24,0,12,510069.40572076885
24,0,13,486822.49191699584
24,0,14,464877.2008590176
24,1,0,560560.4755345465
24,1,1,562481.7058278526
24,1,2,570149.785386132
24,1,3,588509.3833800387
24,1,4,592627.7338774629
24,1,5,616703.5155227653
24,1,6,626185.7035767183
24,1,7,624293.3187698747
24,1,8,600282.4514701621
24,1,9,557621.8651803021
24,1,10,527027.9762585051
24,1,11,493720.0117363827
24,1,12,464831.9503994311
24,1,13,428225.5874000637
24,1,14,397185.1153332521
24,2,0,17.97866863368219
24,2,1,71.57017095592998
24,2,2,161.82302183682123
24,2,3,293.8998922127251
24,2,4,456.54645433458177
24,2,5,1496.368397039253
24,2,6,4097.5031457271825
24,2,7,7961.855290334896
24,2,8,12436.2192240689
24,2,9,16789.711633071925
24,2,10,24640.520051648167
24,2,11,36942.80698146557
24,2,12,51799.226570220184
24,2,13,65778.55140255232
24,2,14,78753.59965202361
25,0,0,541607.3313277791
25,0,1,541155.6984873669
25,0,2,548808.8990345891
25,0,3,557794.6181131564
25,0,4,574099.0613793301
25,0,5,578107.6288373842
25,0,6,600767.0358314255
25,0,7,609787.3670266854
25,0,8,611237.3762168762
25,0,9,592899.120691375
25,0,10,564022.0446793439
25,0,11,542609.8315795632
25,0,12,524128.45215600275
25,0,13,511514.32496456226
25,0,14,490394.5866950141
25,1,0,557193.8820798798
25,1,1,556294.7599356811
25,1,2,563561.6633463919
25,1,3,572109.1853884687
25,1,4,590549.5146758861
25,1,5,593167.5021261246
25,1,6,613244.7863098839
25,1,7,618119.7443923455
25,1,8,613153.0625553937
25,1,9,587347.4328256381
25,1,10,541718.6239571167
25,1,11,507624.4215793924
25,1,12,473981.28822817915
25,1,13,446240.5981878708
25,1,14,412200.4350084203
25,2,0,17.79451811185563
25,2,1,70.45515546515945
25,2,2,159.27603084475336
25,2,3,285.01867187154755
25,2,4,455.2687041268006
25,2,5,1460.5762160634447
25,2,6,4080.7841631480796
